VehicleMakerId,VehicleMakerName,IsActive,CreatedBy,IsDeleted,UpdatedOn,UpdatedBy,CreatedOn
1,JAGUAR,TRUE,IAM,FALSE,,,6-Aug-2020
2,FORD,TRUE,IAM,FALSE,,,6-Aug-2020
3,TESLA,TRUE,IAM,FALSE,,,6-Aug-2020
4,BMW,TRUE,IAM,FALSE,,,6-Aug-2020
5,HONDA,TRUE,IAM,FALSE,,,6-Aug-2020
6,MERCEDES-BENZ,TRUE,IAM,FALSE,,,6-Aug-2020
7,MAZDA,TRUE,IAM,FALSE,,,6-Aug-2020
8,VOLVO,TRUE,IAM,FALSE,,,6-Aug-2020
9,VOLVO TRUCK ,TRUE,IAM,FALSE,,,6-Aug-2020
10,KAWASAKI,TRUE,IAM,FALSE,,,6-Aug-2020
11,NOVABUS,TRUE,IAM,FALSE,,,6-Aug-2020
12,YAMAHA,TRUE,IAM,FALSE,,,6-Aug-2020
13,GENUINE SCOOTERS,TRUE,IAM,FALSE,,,6-Aug-2020
14,ROLLS ROYCE,TRUE,IAM,FALSE,,,6-Aug-2020
15,COOPER CYCLES,TRUE,IAM,FALSE,,,6-Aug-2020
